UMAP1,UMAP2,word,cluster
0.5090141,2.428451,circumstance,6
2.0131555,7.3635726,big,1
-1.1492534,5.0067534,dream,0
0.310834,7.6751995,garden,3
2.814191,1.3382125,dead,8
2.1989434,3.9801478,settle,7
0.07542483,2.88459,real,6
-0.9671121,3.892603,pity,5
3.0937092,2.2911768,speech,0
4.166934,4.085624,linton,4
4.5640855,3.733241,elton,4
-0.013388531,4.398568,lucy,5
0.43790084,4.190854,immediately,7
1.5990697,5.3990226,dance,5
4.294735,3.855229,rochester,4
-0.7898693,3.6649723,effort,0
1.5248154,6.3452716,start,8
2.4891617,1.0550454,chapter,2
1.0152473,3.6916907,remark,9
3.0046866,2.9277432,ago,5
0.21580088,6.49813,warm,1
-0.8216232,1.7517598,taste,6
-0.71901715,4.243195,delight,0
1.2312387,6.1819205,catch,8
4.383272,3.8004494,knightley,4
-1.169125,2.0383291,passion,0
2.3421543,5.0815496,nice,5
0.76510835,0.79615134,heaven,0
1.2272543,1.0109816,position,6
0.4063468,2.744737,prove,6
1.6588367,6.283543,cut,1
4.763369,3.768075,glegg,4
0.7611881,6.0170794,raise,0
0.7293121,6.771236,drop,1
-0.5079034,5.1839776,silent,0
1.8117839,0.7930718,bible,2
-0.61020476,3.9549932,suffer,0
0.5184067,3.595746,fond,5
-1.1530318,4.3978825,joy,0
-0.20240337,7.536671,river,3
2.5060146,2.7016654,note,7
1.0789425,6.3772793,shut,5
4.7297015,3.4670122,fairfax,4
1.0560132,4.6786394,ah,5
-0.9595576,1.8901663,strength,0
1.0437945,5.0142035,forward,7
1.1349121,5.83005,cross,3
1.72396,0.9381685,history,2
0.036131386,2.5772228,purpose,6
0.8964711,7.8354135,figure,1
0.9199028,6.8480353,street,3
0.99720883,3.2834709,probably,7
1.567532,1.8170877,judge,2
0.66366976,3.6348708,demand,9
-0.43938768,6.005209,cheek,1
-0.40416878,6.795185,spring,3
0.4427254,1.2140521,influence,6
0.7359947,2.8021824,accept,7
1.0517755,2.1066728,wise,6
0.046031933,2.5024664,conduct,6
3.0792243,3.6026623,london,7
-0.25050417,2.9270782,entirely,6
0.11167676,7.3509326,road,3
0.015526781,2.7201598,fit,0
1.7243884,3.2813876,oblige,7
0.35904208,4.5191364,surprise,7
2.4877336,2.4280605,address,7
1.6761032,4.3674636,save,5
2.9580913,7.1701193,tea,8
2.5615072,7.26875,glass,1
1.0129174,2.634677,especially,6
2.2518857,5.248149,fanny,5
1.8576269,4.5709167,chance,5
1.0606939,2.517652,particular,7
0.7422277,2.7632675,perfect,6
0.60987747,2.3262043,merely,6
1.4277378,6.6837616,hall,3
-0.50799996,3.3480012,attempt,0
2.2067163,3.6016386,cousin,7
-0.20292868,7.5224404,sea,3
-0.6976121,4.276923,presence,0
0.39436814,2.753296,likely,7
0.5693756,6.221658,approach,3
4.7292595,3.6249027,bennet,4
-1.0102189,5.47605,scene,3
1.185987,4.4684744,sorry,5
2.640589,0.6895194,thee,0
1.6570616,1.2676352,public,2
0.23755127,5.0641475,repeat,5
2.1645684,4.075491,company,7
2.5298457,5.504561,carriage,7
1.4032158,3.6388454,prepare,7
-0.51575834,2.3882043,produce,6
1.1424276,6.75265,corner,1
0.27456072,2.1802404,equal,6
0.08201129,1.3934333,claim,6
3.3274188,4.583653,clarissa,5
-0.40654483,6.947839,wind,3
1.3551648,4.850292,baby,5
0.031690616,2.6106002,future,0
-0.3848483,2.7106404,pride,6
2.2323492,5.180689,fan,5
0.14927983,2.350419,degree,6
1.4836695,7.125872,shoulder,1
2.0767827,2.5226097,english,2
1.0865937,4.675054,spite,5
1.3493816,2.6914418,service,2
0.19201773,7.538749,stone,3
0.319644,5.491853,fix,7
-0.018317666,7.600071,field,3
0.5512184,3.8511097,impossible,7
0.77747315,1.3774158,education,6
2.9748604,3.988651,buy,5
-0.041788522,6.618723,gather,3
1.6467568,7.409045,finger,1
0.82380813,4.824887,pray,5
2.8700106,2.5610216,thousand,2
0.635913,4.249799,hate,5
1.1116234,4.019289,perfectly,5
3.2183826,2.8843992,city,2
1.1536261,3.7552571,assure,7
2.9077091,5.0725784,edna,1
-0.43943635,3.8562698,resolve,0
-0.24424256,5.842184,ear,8
-0.050014567,5.5529714,fast,8
4.4506507,3.8608007,bingley,4
-0.21943896,4.76091,sad,5
0.78383046,5.5103903,whisper,5
0.40299782,2.6383832,trust,0
2.0196009,3.3337464,acquaintance,7
-0.1066806,5.8826656,pale,1
0.9853506,2.531912,decide,7
0.899447,7.8144016,handsome,7
0.56349313,7.408863,wall,3
0.5253588,6.3057604,fly,3
0.12426183,7.6926403,green,3
1.960781,4.01542,join,7
4.531852,3.4851727,woodhouse,4
0.5480799,3.672386,explain,5
-0.6394068,2.8194606,temper,6
1.8188828,7.758493,hat,1
3.3597093,2.2018142,meeting,7
-0.67250437,5.0387397,sudden,0
1.991068,7.7716928,clothe,1
2.028358,1.5204381,art,6
1.7800164,2.6651986,opportunity,7
-0.82297176,2.7737496,mere,6
-0.2138954,2.7373197,share,6
-1.3519499,4.0320787,struggle,0
-0.30717814,1.328408,noble,6
1.4633634,7.4904504,cover,1
-0.78432167,4.279451,secret,0
0.42172503,3.0428002,companion,7
-0.55443037,3.032632,fault,5
-0.3095213,1.9912208,simple,6
0.3932618,2.050577,naturally,6
-0.24386385,7.16314,soft,1
0.588086,7.109929,distance,3
2.2546198,6.0291224,finish,8
1.4657788,0.7241063,religion,6
-0.35905176,1.2549355,youth,6
0.10080934,5.9018517,sing,8
-0.66313684,1.9317333,possess,6
1.3388343,7.6103797,hang,1
0.71247387,2.5982714,concern,7
3.1482227,2.976225,england,2
1.6451778,5.091242,tired,5
0.82315075,6.8004074,slowly,3
0.3179168,2.700583,consequence,7
-0.020600993,6.421852,burn,1
0.35234883,1.3918113,condition,6
3.2112918,3.7881396,afternoon,3
-0.40607738,5.953851,forth,0
2.6440916,7.0277295,piece,1
2.0227432,6.436463,dog,8
4.7801213,3.643988,garth,4
0.5271816,2.0714746,require,6
0.36671993,3.4726112,slight,0
0.7049078,2.8580966,appearance,7
3.3276064,3.6149132,summer,3
1.5875895,4.3625836,agree,5
1.7632127,3.9873142,serve,9
1.9344496,4.8404355,suit,5
-0.037850045,2.370814,action,6
-0.52854854,2.9117281,evil,6
-0.5303695,3.6213,scarcely,0
-0.0022682862,3.1591163,sake,5
3.1493058,4.0382166,morrow,7
-0.06502269,5.2938976,grave,0
-0.515595,4.245191,tender,0
2.5008442,5.990184,ride,8
-1.0463538,3.8558753,memory,0
-0.49638066,2.6086402,mark,9
1.1602664,6.3973265,lean,1
1.1005173,4.0408645,admire,5
0.6509818,6.118075,lift,1
1.1949345,4.0465126,discover,7
0.40152276,2.4321606,advantage,6
-0.4277034,3.424036,health,7
1.7897798,4.8124065,plain,9
2.7705107,3.4595428,attend,7
0.7769303,6.490981,bird,3
2.6469162,0.6963039,thou,0
